ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
23001,201,200,177,254052,Andrew M. Cuomo,61.0,254052,Andrew M. Cuomo,75.70621468926554
23002,170,170,157,254052,Andrew M. Cuomo,64.70588235294117,254052,Andrew M. Cuomo,77.07006369426752
23003,49,48,40,254052,Andrew M. Cuomo,52.083333333333336,254052,Andrew M. Cuomo,67.5
23004,267,266,253,254052,Andrew M. Cuomo,64.28571428571429,254052,Andrew M. Cuomo,77.4703557312253
23005,279,278,260,254052,Andrew M. Cuomo,64.38848920863309,254052,Andrew M. Cuomo,77.6923076923077
23006,283,282,259,254052,Andrew M. Cuomo,64.18439716312056,254052,Andrew M. Cuomo,75.2895752895753
23007,292,288,265,254052,Andrew M. Cuomo,52.083333333333336,254052,Andrew M. Cuomo,66.41509433962264
23008,227,225,205,254052,Andrew M. Cuomo,44.0,254052,Andrew M. Cuomo,56.09756097560976
23009,195,195,188,254286,Zohran Kwame Mamdani,46.15384615384615,254286,Zohran Kwame Mamdani,55.85106382978723
23010,289,288,270,254052,Andrew M. Cuomo,51.736111111111114,254052,Andrew M. Cuomo,63.70370370370371
23011,212,212,205,254052,Andrew M. Cuomo,44.339622641509436,254052,Andrew M. Cuomo,50.73170731707317
23012,95,93,85,254286,Zohran Kwame Mamdani,39.784946236559136,254052,Andrew M. Cuomo,50.588235294117645
23013,256,255,230,254286,Zohran Kwame Mamdani,41.96078431372549,254286,Zohran Kwame Mamdani,57.391304347826086
23014,159,158,148,254052,Andrew M. Cuomo,62.65822784810127,254052,Andrew M. Cuomo,72.97297297297297
23015,211,211,195,254052,Andrew M. Cuomo,54.502369668246445,254052,Andrew M. Cuomo,64.1025641025641
23016,132,132,122,254052,Andrew M. Cuomo,46.21212121212121,254052,Andrew M. Cuomo,55.73770491803278
23017,102,100,95,254052,Andrew M. Cuomo,63.0,254052,Andrew M. Cuomo,72.63157894736842
23018,316,316,294,254286,Zohran Kwame Mamdani,42.405063291139236,254286,Zohran Kwame Mamdani,58.843537414965986
23019,44,40,39,254052,Andrew M. Cuomo,45.0,254052,Andrew M. Cuomo,53.84615384615385
23020,88,87,86,254052,Andrew M. Cuomo,59.77011494252874,254052,Andrew M. Cuomo,65.11627906976744
23021,150,148,146,254052,Andrew M. Cuomo,79.72972972972973,254052,Andrew M. Cuomo,85.61643835616438
23022,95,94,90,254052,Andrew M. Cuomo,68.08510638297872,254052,Andrew M. Cuomo,73.33333333333333
23023,108,107,99,254052,Andrew M. Cuomo,75.70093457943925,254052,Andrew M. Cuomo,89.8989898989899
23024,96,96,89,254052,Andrew M. Cuomo,63.541666666666664,254052,Andrew M. Cuomo,75.28089887640449
23025,262,257,242,254052,Andrew M. Cuomo,68.8715953307393,254052,Andrew M. Cuomo,83.88429752066115
23026,155,154,149,254052,Andrew M. Cuomo,74.02597402597402,254052,Andrew M. Cuomo,83.22147651006712
23027,374,373,365,254052,Andrew M. Cuomo,86.8632707774799,254052,Andrew M. Cuomo,96.98630136986301
23028,211,208,205,254052,Andrew M. Cuomo,74.03846153846155,254052,Andrew M. Cuomo,84.39024390243902
23029,439,437,430,254052,Andrew M. Cuomo,87.64302059496568,254052,Andrew M. Cuomo,98.6046511627907
23030,277,277,267,254052,Andrew M. Cuomo,77.6173285198556,254052,Andrew M. Cuomo,91.76029962546816
23031,305,302,293,254052,Andrew M. Cuomo,74.17218543046357,254052,Andrew M. Cuomo,80.2047781569966
23032,351,349,341,254052,Andrew M. Cuomo,71.34670487106017,254052,Andrew M. Cuomo,83.57771260997067
23033,109,108,101,254052,Andrew M. Cuomo,58.333333333333336,254052,Andrew M. Cuomo,67.32673267326733
23034,134,134,132,254052,Andrew M. Cuomo,64.92537313432835,254052,Andrew M. Cuomo,67.42424242424242
23035,119,119,109,254052,Andrew M. Cuomo,73.10924369747899,254052,Andrew M. Cuomo,79.81651376146789
23036,145,144,140,254052,Andrew M. Cuomo,50.69444444444444,254052,Andrew M. Cuomo,57.85714285714286
23037,144,143,135,254286,Zohran Kwame Mamdani,51.74825174825175,254286,Zohran Kwame Mamdani,58.51851851851851
23038,124,123,117,254052,Andrew M. Cuomo,57.72357723577236,254052,Andrew M. Cuomo,63.24786324786324
23039,10,10,9,254052,Andrew M. Cuomo,50.0,254052,Andrew M. Cuomo,55.55555555555556
23040,126,125,119,254286,Zohran Kwame Mamdani,60.8,254286,Zohran Kwame Mamdani,64.70588235294117
23041,133,133,131,254052,Andrew M. Cuomo,54.13533834586466,254052,Andrew M. Cuomo,54.961832061068705
23042,93,93,91,254286,Zohran Kwame Mamdani,52.68817204301075,254286,Zohran Kwame Mamdani,54.94505494505495
23043,8,8,8,254286,Zohran Kwame Mamdani,62.5,254286,Zohran Kwame Mamdani,62.5
23044,269,267,249,254052,Andrew M. Cuomo,65.1685393258427,254052,Andrew M. Cuomo,77.10843373493977
23045,164,160,151,254052,Andrew M. Cuomo,65.0,254052,Andrew M. Cuomo,78.1456953642384
23046,277,276,269,254286,Zohran Kwame Mamdani,57.971014492753625,254286,Zohran Kwame Mamdani,62.825278810408925
23047,128,126,123,254286,Zohran Kwame Mamdani,47.61904761904761,254286,Zohran Kwame Mamdani,51.21951219512195
23048,167,165,163,254052,Andrew M. Cuomo,51.515151515151516,254052,Andrew M. Cuomo,52.760736196319016
23049,206,205,201,254052,Andrew M. Cuomo,44.87804878048781,254286,Zohran Kwame Mamdani,50.74626865671642
23050,104,104,101,254286,Zohran Kwame Mamdani,73.07692307692307,254286,Zohran Kwame Mamdani,76.23762376237624
23051,170,169,166,254286,Zohran Kwame Mamdani,53.25443786982249,254286,Zohran Kwame Mamdani,57.831325301204814
23052,118,117,115,254286,Zohran Kwame Mamdani,69.23076923076923,254286,Zohran Kwame Mamdani,72.17391304347827
23053,284,281,282,254286,Zohran Kwame Mamdani,79.35943060498221,254286,Zohran Kwame Mamdani,81.20567375886525
23054,239,239,236,254286,Zohran Kwame Mamdani,73.64016736401673,254286,Zohran Kwame Mamdani,75.84745762711864
23055,64,63,63,254286,Zohran Kwame Mamdani,68.25396825396825,254286,Zohran Kwame Mamdani,69.84126984126983
23056,66,66,66,254052,Andrew M. Cuomo,48.484848484848484,254286,Zohran Kwame Mamdani,50.0
23057,110,109,107,254286,Zohran Kwame Mamdani,63.30275229357798,254286,Zohran Kwame Mamdani,68.22429906542055
23058,61,61,58,254286,Zohran Kwame Mamdani,50.81967213114754,254286,Zohran Kwame Mamdani,58.620689655172406
23059,50,50,44,254052,Andrew M. Cuomo,64.0,254052,Andrew M. Cuomo,72.72727272727273
23060,115,115,112,254052,Andrew M. Cuomo,48.69565217391305,254052,Andrew M. Cuomo,53.57142857142857
23062,217,217,212,254286,Zohran Kwame Mamdani,62.21198156682027,254286,Zohran Kwame Mamdani,64.15094339622641
23063,108,108,107,254286,Zohran Kwame Mamdani,57.407407407407405,254286,Zohran Kwame Mamdani,57.943925233644855
23064,50,50,49,254286,Zohran Kwame Mamdani,68.0,254286,Zohran Kwame Mamdani,69.38775510204081
23065,173,173,165,254052,Andrew M. Cuomo,60.69364161849711,254052,Andrew M. Cuomo,68.48484848484848
23066,160,158,148,254052,Andrew M. Cuomo,58.86075949367089,254052,Andrew M. Cuomo,73.64864864864865
24001,58,58,55,254052,Andrew M. Cuomo,48.275862068965516,254052,Andrew M. Cuomo,50.90909090909091
24002,94,93,94,254286,Zohran Kwame Mamdani,51.61290322580645,254286,Zohran Kwame Mamdani,51.06382978723404
24003,192,191,190,254286,Zohran Kwame Mamdani,57.59162303664922,254286,Zohran Kwame Mamdani,60.526315789473685
24004,131,130,130,254286,Zohran Kwame Mamdani,57.692307692307686,254286,Zohran Kwame Mamdani,57.692307692307686
24005,137,136,135,254052,Andrew M. Cuomo,48.529411764705884,254286,Zohran Kwame Mamdani,50.37037037037037
24006,193,191,190,254286,Zohran Kwame Mamdani,56.02094240837696,254286,Zohran Kwame Mamdani,58.42105263157895
24007,153,151,150,254286,Zohran Kwame Mamdani,54.3046357615894,254286,Zohran Kwame Mamdani,57.99999999999999
24008,175,174,171,254286,Zohran Kwame Mamdani,55.172413793103445,254286,Zohran Kwame Mamdani,57.89473684210527
24009,132,129,125,254052,Andrew M. Cuomo,48.06201550387597,254052,Andrew M. Cuomo,52.800000000000004
24010,202,202,196,254052,Andrew M. Cuomo,43.56435643564357,254052,Andrew M. Cuomo,51.53061224489795
24011,133,133,130,254286,Zohran Kwame Mamdani,49.62406015037594,254286,Zohran Kwame Mamdani,52.307692307692314
24012,128,127,126,254286,Zohran Kwame Mamdani,61.417322834645674,254286,Zohran Kwame Mamdani,65.87301587301587
24013,201,198,192,254286,Zohran Kwame Mamdani,48.484848484848484,254286,Zohran Kwame Mamdani,53.645833333333336
24014,139,138,136,254286,Zohran Kwame Mamdani,52.89855072463768,254286,Zohran Kwame Mamdani,56.61764705882353
24015,133,129,128,254286,Zohran Kwame Mamdani,52.71317829457365,254286,Zohran Kwame Mamdani,56.25
24016,104,103,102,254052,Andrew M. Cuomo,52.42718446601942,254052,Andrew M. Cuomo,56.86274509803921
24017,49,49,49,254286,Zohran Kwame Mamdani,79.59183673469387,254286,Zohran Kwame Mamdani,83.6734693877551
24018,112,111,108,254286,Zohran Kwame Mamdani,54.054054054054056,254286,Zohran Kwame Mamdani,59.25925925925925
24019,157,155,148,254286,Zohran Kwame Mamdani,59.354838709677416,254286,Zohran Kwame Mamdani,64.1891891891892
24020,54,54,52,254286,Zohran Kwame Mamdani,55.55555555555556,254286,Zohran Kwame Mamdani,57.692307692307686
24021,156,156,148,254052,Andrew M. Cuomo,45.51282051282051,254052,Andrew M. Cuomo,52.02702702702703
24022,32,31,26,254052,Andrew M. Cuomo,38.70967741935484,254286,Zohran Kwame Mamdani,53.84615384615385
24023,108,107,107,254052,Andrew M. Cuomo,51.4018691588785,254052,Andrew M. Cuomo,52.336448598130836
24024,180,179,172,254052,Andrew M. Cuomo,50.83798882681564,254052,Andrew M. Cuomo,56.97674418604651
24025,66,65,63,254286,Zohran Kwame Mamdani,53.84615384615385,254286,Zohran Kwame Mamdani,60.317460317460316
24026,126,126,123,254286,Zohran Kwame Mamdani,48.41269841269841,254286,Zohran Kwame Mamdani,53.65853658536586
24027,158,157,157,254286,Zohran Kwame Mamdani,75.15923566878982,254286,Zohran Kwame Mamdani,77.70700636942675
24028,155,154,148,254052,Andrew M. Cuomo,44.15584415584416,254286,Zohran Kwame Mamdani,53.37837837837838
24029,162,159,157,254286,Zohran Kwame Mamdani,57.861635220125784,254286,Zohran Kwame Mamdani,62.42038216560509
24030,175,175,169,254286,Zohran Kwame Mamdani,59.42857142857143,254286,Zohran Kwame Mamdani,69.8224852071006
24031,255,248,249,254286,Zohran Kwame Mamdani,47.58064516129033,254286,Zohran Kwame Mamdani,51.00401606425703
24032,194,193,184,254052,Andrew M. Cuomo,46.1139896373057,254052,Andrew M. Cuomo,51.63043478260869
24033,4,4,4,254286,Zohran Kwame Mamdani,100.0,254286,Zohran Kwame Mamdani,100.0
24034,91,89,87,254286,Zohran Kwame Mamdani,61.79775280898876,254286,Zohran Kwame Mamdani,68.96551724137932
24035,94,93,92,254286,Zohran Kwame Mamdani,74.19354838709677,254286,Zohran Kwame Mamdani,76.08695652173914
24036,248,247,241,254286,Zohran Kwame Mamdani,49.797570850202426,254286,Zohran Kwame Mamdani,57.676348547717836
24037,115,115,115,254286,Zohran Kwame Mamdani,76.52173913043478,254286,Zohran Kwame Mamdani,78.26086956521739
24038,356,353,337,254286,Zohran Kwame Mamdani,62.03966005665722,254286,Zohran Kwame Mamdani,70.32640949554896
24039,214,211,201,254286,Zohran Kwame Mamdani,50.23696682464455,254286,Zohran Kwame Mamdani,61.19402985074627
24040,174,172,168,254286,Zohran Kwame Mamdani,70.93023255813954,254286,Zohran Kwame Mamdani,75.59523809523809
24041,168,168,165,254286,Zohran Kwame Mamdani,80.95238095238095,254286,Zohran Kwame Mamdani,84.84848484848484
24042,209,207,207,254286,Zohran Kwame Mamdani,72.46376811594203,254286,Zohran Kwame Mamdani,76.32850241545893
24043,311,307,306,254286,Zohran Kwame Mamdani,77.52442996742671,254286,Zohran Kwame Mamdani,79.73856209150327
24044,218,218,218,254286,Zohran Kwame Mamdani,89.90825688073394,254286,Zohran Kwame Mamdani,91.28440366972477
24045,56,55,55,254286,Zohran Kwame Mamdani,67.27272727272727,254286,Zohran Kwame Mamdani,72.72727272727273
24046,319,315,307,254286,Zohran Kwame Mamdani,55.23809523809524,254286,Zohran Kwame Mamdani,60.586319218241044
24047,275,271,268,254286,Zohran Kwame Mamdani,51.66051660516605,254286,Zohran Kwame Mamdani,58.2089552238806
24048,262,259,257,254286,Zohran Kwame Mamdani,49.034749034749034,254286,Zohran Kwame Mamdani,53.69649805447471
24049,332,330,319,254052,Andrew M. Cuomo,77.87878787878788,254052,Andrew M. Cuomo,84.32601880877742
24050,107,107,101,254052,Andrew M. Cuomo,70.09345794392523,254052,Andrew M. Cuomo,78.21782178217822
24051,368,365,352,254052,Andrew M. Cuomo,55.61643835616439,254052,Andrew M. Cuomo,62.21590909090909
24052,389,389,378,254052,Andrew M. Cuomo,54.24164524421594,254052,Andrew M. Cuomo,63.49206349206349
24053,415,411,394,254052,Andrew M. Cuomo,60.82725060827251,254052,Andrew M. Cuomo,70.55837563451777
24054,45,45,44,254052,Andrew M. Cuomo,64.44444444444444,254052,Andrew M. Cuomo,65.9090909090909
24055,162,158,157,254052,Andrew M. Cuomo,50.63291139240506,254052,Andrew M. Cuomo,55.4140127388535
24056,244,243,231,254052,Andrew M. Cuomo,48.559670781893004,254052,Andrew M. Cuomo,56.709956709956714
24057,196,194,189,254286,Zohran Kwame Mamdani,47.93814432989691,254286,Zohran Kwame Mamdani,55.026455026455025
24058,292,292,281,254052,Andrew M. Cuomo,53.42465753424658,254052,Andrew M. Cuomo,65.83629893238434
24059,281,280,267,254052,Andrew M. Cuomo,60.0,254052,Andrew M. Cuomo,71.53558052434457
24060,381,378,361,254052,Andrew M. Cuomo,55.026455026455025,254052,Andrew M. Cuomo,63.1578947368421
24061,303,302,285,254052,Andrew M. Cuomo,46.35761589403973,254052,Andrew M. Cuomo,57.89473684210527
24062,346,343,321,254052,Andrew M. Cuomo,64.43148688046647,254052,Andrew M. Cuomo,76.94704049844236
24063,146,146,137,254052,Andrew M. Cuomo,57.534246575342465,254052,Andrew M. Cuomo,65.69343065693431
24064,237,235,223,254052,Andrew M. Cuomo,45.53191489361702,254052,Andrew M. Cuomo,52.01793721973094
24065,430,425,422,254286,Zohran Kwame Mamdani,74.58823529411764,254286,Zohran Kwame Mamdani,76.77725118483413
25001,344,343,330,254286,Zohran Kwame Mamdani,45.481049562682216,254286,Zohran Kwame Mamdani,55.757575757575765
25002,360,359,339,254052,Andrew M. Cuomo,39.55431754874652,254052,Andrew M. Cuomo,52.8023598820059
25003,48,48,48,254286,Zohran Kwame Mamdani,50.0,254286,Zohran Kwame Mamdani,58.333333333333336
25004,131,129,129,254286,Zohran Kwame Mamdani,48.837209302325576,254286,Zohran Kwame Mamdani,53.48837209302325
25005,345,345,324,254052,Andrew M. Cuomo,42.608695652173914,254052,Andrew M. Cuomo,52.160493827160494
25006,181,181,177,254286,Zohran Kwame Mamdani,58.011049723756905,254286,Zohran Kwame Mamdani,61.5819209039548
25007,37,37,31,254052,Andrew M. Cuomo,37.83783783783784,254052,Andrew M. Cuomo,51.61290322580645
25008,11,11,11,254052,Andrew M. Cuomo,81.81818181818183,254052,Andrew M. Cuomo,81.81818181818183
25009,250,249,242,254052,Andrew M. Cuomo,61.044176706827315,254052,Andrew M. Cuomo,65.28925619834712
25010,48,47,44,254052,Andrew M. Cuomo,48.93617021276596,254052,Andrew M. Cuomo,59.09090909090909
25011,184,183,181,254052,Andrew M. Cuomo,67.21311475409836,254052,Andrew M. Cuomo,74.03314917127072
25012,290,289,274,254052,Andrew M. Cuomo,53.28719723183391,254052,Andrew M. Cuomo,63.868613138686136
25013,276,275,262,254052,Andrew M. Cuomo,46.909090909090914,254052,Andrew M. Cuomo,51.908396946564885
25014,224,222,221,254052,Andrew M. Cuomo,55.85585585585585,254052,Andrew M. Cuomo,58.371040723981906
25015,128,127,120,254052,Andrew M. Cuomo,44.09448818897638,254052,Andrew M. Cuomo,50.83333333333333
25016,246,246,241,254052,Andrew M. Cuomo,67.47967479674797,254052,Andrew M. Cuomo,73.02904564315352
25017,237,236,230,254052,Andrew M. Cuomo,58.05084745762712,254052,Andrew M. Cuomo,65.65217391304347
25018,274,273,256,254052,Andrew M. Cuomo,48.717948717948715,254052,Andrew M. Cuomo,55.859375
25019,267,265,252,254286,Zohran Kwame Mamdani,46.0377358490566,254286,Zohran Kwame Mamdani,51.98412698412699
25020,296,294,272,254052,Andrew M. Cuomo,41.83673469387755,254052,Andrew M. Cuomo,50.73529411764706
25021,169,169,159,254286,Zohran Kwame Mamdani,46.74556213017752,254286,Zohran Kwame Mamdani,54.088050314465406
25022,184,183,178,254052,Andrew M. Cuomo,44.80874316939891,254052,Andrew M. Cuomo,52.24719101123596
25023,143,143,136,254286,Zohran Kwame Mamdani,44.05594405594406,254286,Zohran Kwame Mamdani,54.41176470588235
25024,154,154,147,254286,Zohran Kwame Mamdani,48.701298701298704,254286,Zohran Kwame Mamdani,55.78231292517006
25025,258,258,243,254286,Zohran Kwame Mamdani,43.02325581395349,254286,Zohran Kwame Mamdani,53.90946502057613
25026,232,232,219,254052,Andrew M. Cuomo,50.0,254052,Andrew M. Cuomo,57.534246575342465
25027,217,217,209,254052,Andrew M. Cuomo,44.70046082949309,254052,Andrew M. Cuomo,52.63157894736842
25028,214,213,202,254286,Zohran Kwame Mamdani,41.78403755868544,254286,Zohran Kwame Mamdani,52.475247524752476
25029,235,234,224,254052,Andrew M. Cuomo,49.572649572649574,254052,Andrew M. Cuomo,53.125
25030,146,144,139,254286,Zohran Kwame Mamdani,46.52777777777778,254286,Zohran Kwame Mamdani,56.83453237410072
25031,177,177,165,254052,Andrew M. Cuomo,46.89265536723164,254052,Andrew M. Cuomo,53.939393939393945
25032,150,149,143,254052,Andrew M. Cuomo,46.308724832214764,254052,Andrew M. Cuomo,53.84615384615385
25033,179,179,173,254286,Zohran Kwame Mamdani,40.78212290502793,254052,Andrew M. Cuomo,51.445086705202314
25034,182,182,173,254052,Andrew M. Cuomo,44.505494505494504,254052,Andrew M. Cuomo,50.86705202312138
25035,168,167,163,254286,Zohran Kwame Mamdani,42.51497005988024,254286,Zohran Kwame Mamdani,51.533742331288344
25036,141,140,128,254286,Zohran Kwame Mamdani,42.857142857142854,254286,Zohran Kwame Mamdani,53.125
25037,132,132,127,254286,Zohran Kwame Mamdani,46.21212121212121,254286,Zohran Kwame Mamdani,54.330708661417326
25038,141,140,139,254052,Andrew M. Cuomo,48.57142857142857,254052,Andrew M. Cuomo,53.23741007194245
25039,122,122,120,254052,Andrew M. Cuomo,46.72131147540984,254286,Zohran Kwame Mamdani,51.66666666666667
25040,145,145,141,254286,Zohran Kwame Mamdani,60.0,254286,Zohran Kwame Mamdani,63.829787234042556
25041,104,104,99,254052,Andrew M. Cuomo,45.19230769230769,254286,Zohran Kwame Mamdani,51.515151515151516
25042,160,159,155,254286,Zohran Kwame Mamdani,47.16981132075472,254052,Andrew M. Cuomo,50.32258064516129
25043,169,168,163,254052,Andrew M. Cuomo,54.166666666666664,254052,Andrew M. Cuomo,60.122699386503065
25044,182,182,173,254052,Andrew M. Cuomo,44.505494505494504,254052,Andrew M. Cuomo,54.33526011560693
25045,166,166,160,254052,Andrew M. Cuomo,44.57831325301205,254286,Zohran Kwame Mamdani,51.24999999999999
25046,113,113,108,254286,Zohran Kwame Mamdani,60.17699115044248,254286,Zohran Kwame Mamdani,66.66666666666666
25047,97,97,92,254286,Zohran Kwame Mamdani,44.329896907216494,254286,Zohran Kwame Mamdani,50.0
26001,112,111,108,254286,Zohran Kwame Mamdani,66.66666666666666,254286,Zohran Kwame Mamdani,73.14814814814815
26002,64,62,62,254286,Zohran Kwame Mamdani,56.451612903225815,254286,Zohran Kwame Mamdani,59.67741935483871
26003,74,73,73,254286,Zohran Kwame Mamdani,65.75342465753424,254286,Zohran Kwame Mamdani,69.86301369863014
26004,154,153,149,254286,Zohran Kwame Mamdani,56.86274509803921,254286,Zohran Kwame Mamdani,63.08724832214765
26005,4,4,3,257441,Whitney R. Tilson,25.0,254052,Andrew M. Cuomo,100.0
26006,180,179,170,254286,Zohran Kwame Mamdani,45.2513966480447,254286,Zohran Kwame Mamdani,55.294117647058826
26007,264,261,242,254286,Zohran Kwame Mamdani,42.5287356321839,254286,Zohran Kwame Mamdani,51.652892561983464
26008,298,298,284,254052,Andrew M. Cuomo,48.65771812080537,254052,Andrew M. Cuomo,57.3943661971831
26009,156,153,149,254286,Zohran Kwame Mamdani,54.90196078431373,254286,Zohran Kwame Mamdani,59.06040268456376
26010,532,529,492,254052,Andrew M. Cuomo,80.15122873345936,254052,Andrew M. Cuomo,94.51219512195121
26011,277,276,269,254052,Andrew M. Cuomo,85.5072463768116,254052,Andrew M. Cuomo,93.68029739776952
26012,321,317,307,254052,Andrew M. Cuomo,50.473186119873816,254052,Andrew M. Cuomo,60.26058631921825
26013,287,286,277,254286,Zohran Kwame Mamdani,50.6993006993007,254286,Zohran Kwame Mamdani,55.95667870036101
26014,316,315,309,254286,Zohran Kwame Mamdani,53.333333333333336,254286,Zohran Kwame Mamdani,57.92880258899677
26015,326,324,311,254286,Zohran Kwame Mamdani,47.22222222222222,254286,Zohran Kwame Mamdani,53.69774919614147
26016,280,279,266,254052,Andrew M. Cuomo,44.80286738351255,254052,Andrew M. Cuomo,51.8796992481203
26017,334,331,314,254052,Andrew M. Cuomo,55.89123867069487,254052,Andrew M. Cuomo,66.56050955414013
26018,151,150,146,254052,Andrew M. Cuomo,56.00000000000001,254052,Andrew M. Cuomo,59.589041095890416
26019,103,103,99,254052,Andrew M. Cuomo,45.63106796116505,254052,Andrew M. Cuomo,59.59595959595959
26020,329,328,301,254052,Andrew M. Cuomo,46.03658536585366,254052,Andrew M. Cuomo,57.14285714285714
26021,247,247,237,254052,Andrew M. Cuomo,56.2753036437247,254052,Andrew M. Cuomo,66.24472573839662
26022,321,318,292,254052,Andrew M. Cuomo,47.79874213836478,254052,Andrew M. Cuomo,56.849315068493155
26023,263,261,242,254286,Zohran Kwame Mamdani,38.69731800766284,254286,Zohran Kwame Mamdani,53.71900826446281
26024,319,316,296,254052,Andrew M. Cuomo,51.89873417721519,254052,Andrew M. Cuomo,62.83783783783784
26025,196,195,188,254052,Andrew M. Cuomo,50.76923076923077,254052,Andrew M. Cuomo,57.97872340425532
26026,230,230,207,254052,Andrew M. Cuomo,43.47826086956522,254052,Andrew M. Cuomo,57.48792270531401
26027,50,50,47,254052,Andrew M. Cuomo,50.0,254052,Andrew M. Cuomo,59.57446808510638
26028,193,192,189,254052,Andrew M. Cuomo,46.875,254052,Andrew M. Cuomo,51.85185185185185
26029,123,123,121,254052,Andrew M. Cuomo,45.52845528455284,254286,Zohran Kwame Mamdani,51.2396694214876
26030,3,3,3,254052,Andrew M. Cuomo,66.66666666666666,254052,Andrew M. Cuomo,66.66666666666666
26031,231,231,222,254052,Andrew M. Cuomo,49.78354978354979,254052,Andrew M. Cuomo,56.75675675675676
26032,238,237,224,254286,Zohran Kwame Mamdani,49.36708860759494,254286,Zohran Kwame Mamdani,60.71428571428571
26033,246,246,234,254286,Zohran Kwame Mamdani,42.27642276422765,254286,Zohran Kwame Mamdani,55.98290598290598
26034,234,232,225,254286,Zohran Kwame Mamdani,41.810344827586206,254286,Zohran Kwame Mamdani,52.0
