candidacy_id,name
256513,David A. Diaz
256520,Jacqueline J. Torres
256525,Danielle Herbert-Guggenheim
256539,Cordell Cleare
256541,Gerald Sullivan 
256549,Mary P. Sullivan 
256552,Ciaragrace  Donley 
256555,Valerie Jo Bradley
256558,George A. Donley 
256562,Donna-Marie A. Gibbons
256569,Inez E. Dickens
256581,D. Dickens Richards
256588,Jeanmarie Anaya
256593,Richard J. Keane
256622,Nelson Valentine
256628,Ryan Lugo
256631,Joanna G. Sanchez
256642,Paul Pogozelski
256663,Henrietta Lyle
256667,Alexis J. Saunders
256668,Norma Campusano (F)
256669,Amy Slattery
256671,Corey Ortega
256672,Jenny D. Garcia
256673,Joshua A. Clennon
256674,Judith O. Eason
256675,Laurie Tobias-Cohen
256676,Shana Harmongoff
256677,Maria A. Davis
256678,Mayra A. Marmol Peralta
256679,Maurice Franklin
256680,Jose A. Ferreria Torres
256681,Elizabeth Veras
256682,Evangelina Fermin
256683,Nyles J. Robinson
256684,Juan Armando Penalo Ramos
256685,Bienvenida Luna
256686,Julia Guzman
256687,Adalgisa Abreu
256688,Ligia M. Mejia
256689,Margarita Casimiro
256690,Dale Nelson
256691,Gisela A. Lora
256693,Wilma J. Brown Phillips
256695,Angela Trinidad
256696,Keith L.T. Wright
256697,Reina I. Ferreira
256698,Frederick A. Teich
256699,Altagracia Valiente
256700,Karmen Reasco
256701,Raymond N. Maniscalco
256702,Jordan J.G. Wright
256703,Chanel B. Coronado
256704,Lidia R. Batista
256705,Anne Walsh
256706,Juan Peguero
256707,Charles B. Rangel
256708,Cleveland K. Manley
256709,Corey Ortega (M)
256711,Michelle P. Booker
256712,Yolanda V. Brooks
256713,Alicia Barksdale
256714,Rafael A. Calvo
256715,Maria Noemi Velez
256716,Julia Coello Austin
256717,Jane M. Arrendell-Johnson
256718,Luis M. Johnson
256719,Miosotis Cruz
256720,Daniel Paterson
256721,Debora Ferguson
256722,Asuncion Serulle
256723,Kasara Davidson
256724,Altagracia Ozuna
256725,Collin L. Thompson
256726,Zunilda Yolanda Espinal
256727,Erin P. Malone
256728,Ashley Abreu
256730,Lois V. Penny
256731,Hugo Ortega
256732,Matthew J. Sullivan
256733,Tyhesha L. Smith
256735,Barry J. Weinberg
256736,Kenneth Graham
256737,Beth A. Hanning
256738,Michele Jones
256739,Norma Almonte
256740,Bonnie J. Walsh
256741,Guelmy Ovalle
256742,Courtnie A. McMillan
256743,Carmen M. Garcia
256745,Ricky L. Davis
256746,Jeffrey K.  McMilleon
256748,Viola Hamilton-Keith
256749,Carl C. Aliviado Jr.
256750,Melvin B. Alston
256752,Michael T. Foley
256753,Edward J. Pastore 
256755,Karen A. Carr
256757,Mary Dadario
256759,Jennifer D. Oconnor
256768,Christopher W. Knott
256770,Richard W. Knott
256778,Elizabeth Hennessey
256783,John Hennessey
256785,Naomy Rodriguez
256793,Alice White 
256795,Ruth Becker
256801,Patricia A. McCabe
256806,Donald J. Gallagher
256815,Luis M. Johnson
256821,Vincent Musca
256825,Victoria G. Genna
256828,Jane Arrendell-Johnson 
256836,Carmen F. Araujo
256845,Rosalia C. Gonzalez
256855,Eugenice M. Ramirez
256860,Juan T. Serulle
256892,Ariel Arias 
256913,Carmen M. Garcia 
256914,Jay M. Frango
256915,Lorraine M. LaPollo
256919,Alicia Barksdale
256923,Nathaly I. Arias
256949,Tiffany Fulton
256953,Lena Green
256957,Marchelle Green
256962,Trinidad Guilamo
256964,Sheila Y. Harrison
256965,Bernardo De La Cruz 
256971,Michele Jones
256978,Theona S. Reets-Dupont
256982,Virginia Maloney
256989,Angela Abreu
256993,Dale Nelson
256999,Clarisa M. Alayeto
257009,Roxanne O. Mercado
257010,Antirson R. Ortiz
257013,Mircia Mercado
257016,Jack Fogle
257023,Jacqueline Sencion
257037,Mayra A. Marmol Peralta
257045,Julio C. Negron
257049,Ling Ye
257051,Ligia M. Mejia
257058,Miguel A. Regalado
257064,Jordan Diaz
257076,Jose A. Ferreira Torres
257084,Francia Pena-Reyes
257088,Antonio Abreu
257096,Karmen Reasco
257101,Migdalia Berroa
257109,Maria I. Cofresi
257115,Angela Trinidad
257119,Jenny D. Garcia
257126,Elizabeth Veras
257131,Adalgisa Abreu
257137,Lidia R. Batista
