ed,candidacy_id,name,first_choice,final_round,is_major
23001,257441,Whitney R. Tilson,4,0,False
23001,254052,Andrew M. Cuomo,122,134,True
23001,257465,Adrienne E. Adams,0,0,True
23001,254286,Zohran Kwame Mamdani,33,43,True
23001,254607,Michael Blake,3,0,False
23001,255950,Zellnor Myrie,1,0,False
23001,254130,Brad Lander,23,0,True
23001,254393,Scott M. Stringer,7,0,True
23001,258719,Paperboy Love Prince,7,0,False
23002,257441,Whitney R. Tilson,5,0,False
23002,254052,Andrew M. Cuomo,110,121,True
23002,258821,Selma K. Bartholomew,1,0,False
23002,257465,Adrienne E. Adams,6,0,True
23002,254286,Zohran Kwame Mamdani,25,36,True
23002,254607,Michael Blake,1,0,False
23002,254130,Brad Lander,14,0,True
23002,254393,Scott M. Stringer,7,0,True
23002,258719,Paperboy Love Prince,1,0,False
23003,257441,Whitney R. Tilson,2,0,False
23003,254052,Andrew M. Cuomo,25,27,True
23003,254393,Scott M. Stringer,3,0,True
23003,254286,Zohran Kwame Mamdani,10,13,True
23003,254130,Brad Lander,5,0,True
23003,257465,Adrienne E. Adams,2,0,True
23003,254365,Jessica Ramos,1,0,False
23004,257441,Whitney R. Tilson,4,0,False
23004,254052,Andrew M. Cuomo,171,196,True
23004,257465,Adrienne E. Adams,3,0,True
23004,254286,Zohran Kwame Mamdani,45,57,True
23004,254607,Michael Blake,1,0,False
23004,255950,Zellnor Myrie,1,0,False
23004,254130,Brad Lander,29,0,True
23004,254393,Scott M. Stringer,9,0,True
23004,258719,Paperboy Love Prince,3,0,False
23005,257441,Whitney R. Tilson,8,0,False
23005,254052,Andrew M. Cuomo,179,202,True
23005,257465,Adrienne E. Adams,0,0,True
23005,254286,Zohran Kwame Mamdani,42,58,True
23005,254607,Michael Blake,1,0,False
23005,254130,Brad Lander,36,0,True
23005,254393,Scott M. Stringer,8,0,True
23005,254365,Jessica Ramos,1,0,False
23005,258719,Paperboy Love Prince,3,0,False
23006,257441,Whitney R. Tilson,2,0,False
23006,254052,Andrew M. Cuomo,181,195,True
23006,258821,Selma K. Bartholomew,1,0,False
23006,257465,Adrienne E. Adams,5,0,True
23006,254286,Zohran Kwame Mamdani,53,64,True
23006,254130,Brad Lander,22,0,True
23006,254393,Scott M. Stringer,14,0,True
23006,258719,Paperboy Love Prince,4,0,False
23007,257441,Whitney R. Tilson,7,0,False
23007,254052,Andrew M. Cuomo,150,176,True
23007,257465,Adrienne E. Adams,4,0,True
23007,254286,Zohran Kwame Mamdani,70,89,True
23007,254607,Michael Blake,2,0,False
23007,255950,Zellnor Myrie,1,0,False
23007,254130,Brad Lander,29,0,True
23007,254393,Scott M. Stringer,22,0,True
23007,258719,Paperboy Love Prince,3,0,False
23008,257441,Whitney R. Tilson,3,0,False
23008,254052,Andrew M. Cuomo,99,115,True
23008,258821,Selma K. Bartholomew,1,0,False
23008,254393,Scott M. Stringer,7,0,True
23008,254286,Zohran Kwame Mamdani,69,90,True
23008,254130,Brad Lander,33,0,True
23008,257465,Adrienne E. Adams,12,0,True
23008,258719,Paperboy Love Prince,1,0,False
23009,257441,Whitney R. Tilson,1,0,False
23009,254052,Andrew M. Cuomo,71,83,True
23009,254393,Scott M. Stringer,3,0,True
23009,254286,Zohran Kwame Mamdani,90,105,True
23009,254607,Michael Blake,1,0,False
23009,255950,Zellnor Myrie,1,0,False
23009,254130,Brad Lander,14,0,True
23009,257465,Adrienne E. Adams,11,0,True
23009,254365,Jessica Ramos,2,0,False
23009,258719,Paperboy Love Prince,1,0,False
23010,257441,Whitney R. Tilson,2,0,False
23010,254052,Andrew M. Cuomo,149,172,True
23010,254393,Scott M. Stringer,12,0,True
23010,254286,Zohran Kwame Mamdani,76,98,True
23010,254607,Michael Blake,2,0,False
