ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
23001,1127,1127,1127,0,Andrew M. Cuomo,60.60337178349601,0,Andrew M. Cuomo,60.60337178349601
23002,1125,1125,1125,0,Andrew M. Cuomo,57.68888888888889,0,Andrew M. Cuomo,57.68888888888889
23003,378,378,378,0,Andrew M. Cuomo,49.2063492063492,0,Andrew M. Cuomo,49.2063492063492
23004,1121,1121,1121,0,Andrew M. Cuomo,69.49152542372882,0,Andrew M. Cuomo,69.49152542372882
23005,1118,1118,1118,0,Andrew M. Cuomo,67.17352415026834,0,Andrew M. Cuomo,67.17352415026834
23006,1101,1101,1101,0,Andrew M. Cuomo,61.76203451407811,0,Andrew M. Cuomo,61.76203451407811
23007,1185,1185,1185,0,Andrew M. Cuomo,54.599156118143455,0,Andrew M. Cuomo,54.599156118143455
23008,842,842,842,0,Andrew M. Cuomo,49.287410926365794,0,Andrew M. Cuomo,49.287410926365794
23009,550,550,550,0,Andrew M. Cuomo,43.81818181818182,0,Andrew M. Cuomo,43.81818181818182
23010,976,976,976,0,Andrew M. Cuomo,49.795081967213115,0,Andrew M. Cuomo,49.795081967213115
23011,608,608,608,0,Zohran Kwame Mamdani,45.88815789473684,0,Zohran Kwame Mamdani,45.88815789473684
23012,232,232,232,0,Zohran Kwame Mamdani,53.879310344827594,0,Zohran Kwame Mamdani,53.879310344827594
23013,599,599,599,0,Zohran Kwame Mamdani,47.412353923205345,0,Zohran Kwame Mamdani,47.412353923205345
23014,572,572,572,0,Andrew M. Cuomo,48.07692307692308,0,Andrew M. Cuomo,48.07692307692308
23015,650,650,650,0,Andrew M. Cuomo,50.153846153846146,0,Andrew M. Cuomo,50.153846153846146
23016,349,349,349,0,Andrew M. Cuomo,46.41833810888252,0,Andrew M. Cuomo,46.41833810888252
23017,606,606,606,0,Andrew M. Cuomo,53.63036303630363,0,Andrew M. Cuomo,53.63036303630363
23018,665,665,665,0,Zohran Kwame Mamdani,50.67669172932331,0,Zohran Kwame Mamdani,50.67669172932331
23019,108,108,108,0,Zohran Kwame Mamdani,54.629629629629626,0,Zohran Kwame Mamdani,54.629629629629626
23020,219,219,219,0,Zohran Kwame Mamdani,59.817351598173516,0,Zohran Kwame Mamdani,59.817351598173516
23021,390,390,390,0,Andrew M. Cuomo,64.35897435897436,0,Andrew M. Cuomo,64.35897435897436
23022,171,171,171,0,Zohran Kwame Mamdani,53.216374269005854,0,Zohran Kwame Mamdani,53.216374269005854
23023,316,316,316,0,Andrew M. Cuomo,64.55696202531645,0,Andrew M. Cuomo,64.55696202531645
23024,235,235,235,0,Zohran Kwame Mamdani,50.212765957446805,0,Zohran Kwame Mamdani,50.212765957446805
23025,603,603,603,0,Andrew M. Cuomo,66.66666666666666,0,Andrew M. Cuomo,66.66666666666666
23026,336,336,336,0,Andrew M. Cuomo,61.30952380952381,0,Andrew M. Cuomo,61.30952380952381
23027,801,801,801,0,Andrew M. Cuomo,89.76279650436953,0,Andrew M. Cuomo,89.76279650436953
23028,550,550,550,0,Andrew M. Cuomo,68.36363636363636,0,Andrew M. Cuomo,68.36363636363636
23029,927,927,927,0,Andrew M. Cuomo,97.30312837108953,0,Andrew M. Cuomo,97.30312837108953
23030,767,767,767,0,Andrew M. Cuomo,83.57235984354628,0,Andrew M. Cuomo,83.57235984354628
23031,696,696,696,0,Andrew M. Cuomo,66.8103448275862,0,Andrew M. Cuomo,66.8103448275862
23032,866,866,866,0,Andrew M. Cuomo,69.5150115473441,0,Andrew M. Cuomo,69.5150115473441
23033,994,994,994,0,Andrew M. Cuomo,62.57545271629779,0,Andrew M. Cuomo,62.57545271629779
23034,871,871,871,0,Andrew M. Cuomo,56.027554535017224,0,Andrew M. Cuomo,56.027554535017224
23035,839,839,839,0,Andrew M. Cuomo,60.54827175208581,0,Andrew M. Cuomo,60.54827175208581
23036,899,899,899,0,Andrew M. Cuomo,54.61624026696329,0,Andrew M. Cuomo,54.61624026696329
