ed,candidacy_id,name,first_choice,final_round,is_major
23015,8,Stacey H. Prussman,0,0,False
23015,9,William A. Pepitone,3,3,True
23016,1,Catherine Rojas,4,4,True
23016,2,Curtis A. Sliwa,117,117,True
23016,3,Eric L. Adams,118,118,True
23016,4,Fernando Mateo,0,0,False
23016,5,Quanda S. Francis,0,0,False
23016,6,Raja Michael Flores,0,0,False
23016,7,Skiboky Stora,0,0,False
23016,8,Stacey H. Prussman,0,0,False
23016,9,William A. Pepitone,2,2,True
23017,1,Catherine Rojas,2,2,True
23017,2,Curtis A. Sliwa,105,105,True
23017,3,Eric L. Adams,140,140,True
23017,4,Fernando Mateo,0,0,False
23017,5,Quanda S. Francis,0,0,False
23017,6,Raja Michael Flores,0,0,False
23017,7,Skiboky Stora,0,0,False
23017,8,Stacey H. Prussman,0,0,False
23017,9,William A. Pepitone,4,4,True
23018,1,Catherine Rojas,4,4,True
23018,2,Curtis A. Sliwa,48,48,True
23018,3,Eric L. Adams,153,153,True
23018,4,Fernando Mateo,3,3,False
23018,5,Quanda S. Francis,1,1,False
23018,6,Raja Michael Flores,1,1,False
23018,7,Skiboky Stora,0,0,False
23018,8,Stacey H. Prussman,0,0,False
23018,9,William A. Pepitone,3,3,True
23019,1,Catherine Rojas,6,6,True
23019,2,Curtis A. Sliwa,52,52,True
23019,3,Eric L. Adams,122,122,True
23019,4,Fernando Mateo,0,0,False
23019,5,Quanda S. Francis,0,0,False
23019,6,Raja Michael Flores,0,0,False
23019,7,Skiboky Stora,0,0,False
23019,8,Stacey H. Prussman,2,2,False
23019,9,William A. Pepitone,5,5,True
23021,1,Catherine Rojas,4,4,True
23021,2,Curtis A. Sliwa,94,94,True
23021,3,Eric L. Adams,209,209,True
23021,4,Fernando Mateo,0,0,False
23021,5,Quanda S. Francis,1,1,False
23021,6,Raja Michael Flores,0,0,False
23021,7,Skiboky Stora,0,0,False
23021,8,Stacey H. Prussman,2,2,False
23021,9,William A. Pepitone,6,6,True
23023,1,Catherine Rojas,0,0,True
23023,2,Curtis A. Sliwa,32,32,True
23023,3,Eric L. Adams,60,60,True
23023,4,Fernando Mateo,0,0,False
23023,5,Quanda S. Francis,1,1,False
23023,6,Raja Michael Flores,0,0,False
23023,7,Skiboky Stora,0,0,False
23023,8,Stacey H. Prussman,0,0,False
23023,9,William A. Pepitone,0,0,True
23024,1,Catherine Rojas,0,0,True
23024,2,Curtis A. Sliwa,14,14,True
23024,3,Eric L. Adams,150,150,True
23024,4,Fernando Mateo,0,0,False
23024,5,Quanda S. Francis,0,0,False
23024,6,Raja Michael Flores,0,0,False
23024,7,Skiboky Stora,0,0,False
23024,8,Stacey H. Prussman,0,0,False
23024,9,William A. Pepitone,1,1,True
23025,1,Catherine Rojas,0,0,True
23025,2,Curtis A. Sliwa,114,114,True
23025,3,Eric L. Adams,174,174,True
23025,4,Fernando Mateo,0,0,False
23025,5,Quanda S. Francis,1,1,False
23025,6,Raja Michael Flores,0,0,False
23025,7,Skiboky Stora,0,0,False
23025,8,Stacey H. Prussman,4,4,False
23025,9,William A. Pepitone,3,3,True
23026,1,Catherine Rojas,0,0,True
23026,2,Curtis A. Sliwa,48,48,True
23026,3,Eric L. Adams,189,189,True
23026,4,Fernando Mateo,0,0,False
23026,5,Quanda S. Francis,0,0,False
23026,6,Raja Michael Flores,1,1,False
23026,7,Skiboky Stora,0,0,False
23026,8,Stacey H. Prussman,2,2,False
23026,9,William A. Pepitone,0,0,True
23027,1,Catherine Rojas,0,0,True
23027,2,Curtis A. Sliwa,154,154,True
23027,3,Eric L. Adams,247,247,True
23027,4,Fernando Mateo,0,0,False
23027,5,Quanda S. Francis,0,0,False
23027,6,Raja Michael Flores,0,0,False
23027,7,Skiboky Stora,0,0,False
23027,8,Stacey H. Prussman,0,0,False
23027,9,William A. Pepitone,4,4,True
23028,1,Catherine Rojas,0,0,True
23028,2,Curtis A. Sliwa,113,113,True
23028,3,Eric L. Adams,162,162,True
23028,4,Fernando Mateo,0,0,False
23028,5,Quanda S. Francis,1,1,False
23028,6,Raja Michael Flores,0,0,False
23028,7,Skiboky Stora,0,0,False
23028,8,Stacey H. Prussman,1,1,False
23028,9,William A. Pepitone,1,1,True
23029,1,Catherine Rojas,1,1,True
23029,2,Curtis A. Sliwa,36,36,True
23029,3,Eric L. Adams,144,144,True
23029,4,Fernando Mateo,0,0,False
23029,5,Quanda S. Francis,0,0,False
23029,6,Raja Michael Flores,0,0,False
23029,7,Skiboky Stora,0,0,False
23029,8,Stacey H. Prussman,0,0,False
23029,9,William A. Pepitone,2,2,True
23030,1,Catherine Rojas,3,3,True
23030,2,Curtis A. Sliwa,30,30,True
23030,3,Eric L. Adams,154,154,True
23030,4,Fernando Mateo,1,1,False
23030,5,Quanda S. Francis,1,1,False
23030,6,Raja Michael Flores,0,0,False
23030,7,Skiboky Stora,0,0,False
23030,8,Stacey H. Prussman,0,0,False
23030,9,William A. Pepitone,1,1,True
23031,1,Catherine Rojas,1,1,True
23031,2,Curtis A. Sliwa,35,35,True
23031,3,Eric L. Adams,160,160,True
23031,4,Fernando Mateo,0,0,False
23031,5,Quanda S. Francis,0,0,False
23031,6,Raja Michael Flores,0,0,False
23031,7,Skiboky Stora,0,0,False
23031,8,Stacey H. Prussman,0,0,False
23031,9,William A. Pepitone,2,2,True
23032,1,Catherine Rojas,0,0,True
23032,2,Curtis A. Sliwa,10,10,True
23032,3,Eric L. Adams,133,133,True
23032,4,Fernando Mateo,0,0,False
23032,5,Quanda S. Francis,0,0,False
23032,6,Raja Michael Flores,0,0,False
23032,7,Skiboky Stora,0,0,False
23032,8,Stacey H. Prussman,0,0,False
