ed,candidacy_id,name,first_choice,final_round,is_major
23001,1,Andrew M. Cuomo,683,683,True
23001,2,Curtis A. Sliwa,351,351,True
23001,3,Eric L. Adams,1,1,False
23001,4,Irene Estrada,5,5,False
23001,5,Jim Walden,2,2,False
23001,6,Joseph Hernandez,0,0,False
23001,7,Zohran Kwame Mamdani,85,85,True
23002,1,Andrew M. Cuomo,649,649,True
23002,2,Curtis A. Sliwa,388,388,True
23002,3,Eric L. Adams,1,1,False
23002,4,Irene Estrada,4,4,False
23002,5,Jim Walden,1,1,False
23002,6,Joseph Hernandez,1,1,False
23002,7,Zohran Kwame Mamdani,81,81,True
23003,1,Andrew M. Cuomo,186,186,True
23003,2,Curtis A. Sliwa,158,158,True
23003,3,Eric L. Adams,0,0,False
23003,4,Irene Estrada,0,0,False
23003,5,Jim Walden,0,0,False
23003,6,Joseph Hernandez,1,1,False
23003,7,Zohran Kwame Mamdani,33,33,True
23004,1,Andrew M. Cuomo,779,779,True
23004,2,Curtis A. Sliwa,232,232,True
23004,3,Eric L. Adams,3,3,False
23004,4,Irene Estrada,2,2,False
23004,5,Jim Walden,0,0,False
23004,6,Joseph Hernandez,0,0,False
23004,7,Zohran Kwame Mamdani,105,105,True
23005,1,Andrew M. Cuomo,751,751,True
23005,2,Curtis A. Sliwa,281,281,True
23005,3,Eric L. Adams,1,1,False
23005,4,Irene Estrada,0,0,False
23005,5,Jim Walden,0,0,False
23005,6,Joseph Hernandez,0,0,False
23005,7,Zohran Kwame Mamdani,85,85,True
23006,1,Andrew M. Cuomo,680,680,True
23006,2,Curtis A. Sliwa,296,296,True
23006,3,Eric L. Adams,2,2,False
23006,4,Irene Estrada,1,1,False
23006,5,Jim Walden,0,0,False
23006,6,Joseph Hernandez,1,1,False
23006,7,Zohran Kwame Mamdani,121,121,True
23007,1,Andrew M. Cuomo,647,647,True
23007,2,Curtis A. Sliwa,374,374,True
23007,3,Eric L. Adams,4,4,False
23007,4,Irene Estrada,3,3,False
23007,5,Jim Walden,1,1,False
23007,6,Joseph Hernandez,4,4,False
23007,7,Zohran Kwame Mamdani,152,152,True
23008,1,Andrew M. Cuomo,415,415,True
23008,2,Curtis A. Sliwa,242,242,True
23008,3,Eric L. Adams,1,1,False
23008,4,Irene Estrada,1,1,False
23008,5,Jim Walden,3,3,False
23008,6,Joseph Hernandez,0,0,False
23008,7,Zohran Kwame Mamdani,180,180,True
23009,1,Andrew M. Cuomo,241,241,True
23009,2,Curtis A. Sliwa,124,124,True
23009,3,Eric L. Adams,1,1,False
23009,4,Irene Estrada,0,0,False
23009,5,Jim Walden,2,2,False
23009,6,Joseph Hernandez,1,1,False
23009,7,Zohran Kwame Mamdani,181,181,True
23010,1,Andrew M. Cuomo,486,486,True
23010,2,Curtis A. Sliwa,316,316,True
23010,3,Eric L. Adams,0,0,False
23010,4,Irene Estrada,0,0,False
23010,5,Jim Walden,3,3,False
23010,6,Joseph Hernandez,0,0,False
23010,7,Zohran Kwame Mamdani,171,171,True
23011,1,Andrew M. Cuomo,238,238,True
23011,2,Curtis A. Sliwa,84,84,True
23011,3,Eric L. Adams,4,4,False
23011,4,Irene Estrada,1,1,False
23011,5,Jim Walden,2,2,False
23011,6,Joseph Hernandez,0,0,False
23011,7,Zohran Kwame Mamdani,279,279,True
23012,1,Andrew M. Cuomo,73,73,True
23012,2,Curtis A. Sliwa,31,31,True
23012,3,Eric L. Adams,2,2,False
23012,4,Irene Estrada,0,0,False
23012,5,Jim Walden,1,1,False
23012,6,Joseph Hernandez,0,0,False
23012,7,Zohran Kwame Mamdani,125,125,True
23013,1,Andrew M. Cuomo,214,214,True
23013,2,Curtis A. Sliwa,99,99,True
23013,3,Eric L. Adams,1,1,False
23013,4,Irene Estrada,1,1,False
23013,5,Jim Walden,0,0,False
23013,6,Joseph Hernandez,0,0,False
23013,7,Zohran Kwame Mamdani,284,284,True
23014,1,Andrew M. Cuomo,275,275,True
23014,2,Curtis A. Sliwa,136,136,True
23014,3,Eric L. Adams,1,1,False
23014,4,Irene Estrada,2,2,False
23014,5,Jim Walden,0,0,False
23014,6,Joseph Hernandez,1,1,False
23014,7,Zohran Kwame Mamdani,157,157,True
23015,1,Andrew M. Cuomo,326,326,True
23015,2,Curtis A. Sliwa,146,146,True
23015,3,Eric L. Adams,1,1,False
23015,4,Irene Estrada,2,2,False
23015,5,Jim Walden,2,2,False
23015,6,Joseph Hernandez,1,1,False
23015,7,Zohran Kwame Mamdani,172,172,True
23016,1,Andrew M. Cuomo,162,162,True
23016,2,Curtis A. Sliwa,79,79,True
23016,3,Eric L. Adams,2,2,False
23016,4,Irene Estrada,0,0,False
23016,5,Jim Walden,2,2,False
23016,6,Joseph Hernandez,0,0,False
23016,7,Zohran Kwame Mamdani,104,104,True
23017,1,Andrew M. Cuomo,325,325,True
23017,2,Curtis A. Sliwa,212,212,True
23017,3,Eric L. Adams,2,2,False
23017,4,Irene Estrada,2,2,False
23017,5,Jim Walden,0,0,False
23017,6,Joseph Hernandez,0,0,False
23017,7,Zohran Kwame Mamdani,65,65,True
23018,1,Andrew M. Cuomo,251,251,True
23018,2,Curtis A. Sliwa,72,72,True
23018,3,Eric L. Adams,4,4,False
23018,4,Irene Estrada,0,0,False
23018,5,Jim Walden,1,1,False
23018,6,Joseph Hernandez,0,0,False
23018,7,Zohran Kwame Mamdani,337,337,True
23019,1,Andrew M. Cuomo,39,39,True
23019,2,Curtis A. Sliwa,8,8,True
23019,3,Eric L. Adams,0,0,False
23019,4,Irene Estrada,2,2,False
23019,5,Jim Walden,0,0,False
23019,6,Joseph Hernandez,0,0,False
23019,7,Zohran Kwame Mamdani,59,59,True
23020,1,Andrew M. Cuomo,72,72,True
23020,2,Curtis A. Sliwa,13,13,True
23020,3,Eric L. Adams,2,2,False
23020,4,Irene Estrada,1,1,False
23020,5,Jim Walden,0,0,False
23020,6,Joseph Hernandez,0,0,False
23020,7,Zohran Kwame Mamdani,131,131,True
23021,1,Andrew M. Cuomo,251,251,True
23021,2,Curtis A. Sliwa,17,17,True
23021,3,Eric L. Adams,3,3,False
23021,4,Irene Estrada,2,2,False
23021,5,Jim Walden,1,1,False
23021,6,Joseph Hernandez,1,1,False
23021,7,Zohran Kwame Mamdani,115,115,True
23022,1,Andrew M. Cuomo,70,70,True
23022,2,Curtis A. Sliwa,10,10,True
