ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
48013,152,152,152,0,Curtis A. Sliwa,50.0,0,Curtis A. Sliwa,50.0
48014,154,154,154,0,Curtis A. Sliwa,65.5844155844156,0,Curtis A. Sliwa,65.5844155844156
48015,151,151,151,0,Curtis A. Sliwa,52.980132450331126,0,Curtis A. Sliwa,52.980132450331126
48016,166,166,166,0,Curtis A. Sliwa,69.27710843373494,0,Curtis A. Sliwa,69.27710843373494
48017,121,121,121,0,Curtis A. Sliwa,52.892561983471076,0,Curtis A. Sliwa,52.892561983471076
48018,188,188,188,0,Curtis A. Sliwa,56.91489361702128,0,Curtis A. Sliwa,56.91489361702128
48019,208,208,208,0,Curtis A. Sliwa,54.32692307692307,0,Curtis A. Sliwa,54.32692307692307
48020,102,102,102,0,Curtis A. Sliwa,59.80392156862745,0,Curtis A. Sliwa,59.80392156862745
48021,157,157,157,0,Curtis A. Sliwa,57.961783439490446,0,Curtis A. Sliwa,57.961783439490446
48022,151,151,151,0,Curtis A. Sliwa,59.60264900662252,0,Curtis A. Sliwa,59.60264900662252
48023,211,211,211,0,Curtis A. Sliwa,54.976303317535546,0,Curtis A. Sliwa,54.976303317535546
48024,183,183,183,0,Curtis A. Sliwa,51.36612021857923,0,Curtis A. Sliwa,51.36612021857923
48025,158,158,158,0,Curtis A. Sliwa,48.10126582278481,0,Curtis A. Sliwa,48.10126582278481
48026,205,205,205,0,Curtis A. Sliwa,55.1219512195122,0,Curtis A. Sliwa,55.1219512195122
48027,181,181,181,0,Curtis A. Sliwa,55.80110497237569,0,Curtis A. Sliwa,55.80110497237569
48028,236,236,236,0,Curtis A. Sliwa,59.7457627118644,0,Curtis A. Sliwa,59.7457627118644
48029,210,210,210,0,Curtis A. Sliwa,71.9047619047619,0,Curtis A. Sliwa,71.9047619047619
48030,230,230,230,0,Curtis A. Sliwa,55.65217391304348,0,Curtis A. Sliwa,55.65217391304348
48031,122,122,122,0,Curtis A. Sliwa,54.09836065573771,0,Curtis A. Sliwa,54.09836065573771
48032,203,203,203,0,Curtis A. Sliwa,53.69458128078818,0,Curtis A. Sliwa,53.69458128078818
48033,129,129,129,0,Curtis A. Sliwa,69.76744186046511,0,Curtis A. Sliwa,69.76744186046511
48034,94,94,94,0,Curtis A. Sliwa,65.95744680851064,0,Curtis A. Sliwa,65.95744680851064
48035,25,25,25,0,Eric L. Adams,60.0,0,Eric L. Adams,60.0
48036,151,151,151,0,Curtis A. Sliwa,61.58940397350994,0,Curtis A. Sliwa,61.58940397350994
48037,93,93,93,0,Curtis A. Sliwa,65.59139784946237,0,Curtis A. Sliwa,65.59139784946237
48038,95,95,95,0,Curtis A. Sliwa,62.10526315789474,0,Curtis A. Sliwa,62.10526315789474
48039,112,112,112,0,Curtis A. Sliwa,62.5,0,Curtis A. Sliwa,62.5
48040,199,199,199,0,Curtis A. Sliwa,58.79396984924623,0,Curtis A. Sliwa,58.79396984924623
48041,77,77,77,0,Curtis A. Sliwa,58.44155844155844,0,Curtis A. Sliwa,58.44155844155844
48042,168,168,168,0,Curtis A. Sliwa,51.19047619047619,0,Curtis A. Sliwa,51.19047619047619
